type,id
1,50000
1,50001
1,50002
1,50003
1,50004
1,50005
1,50006
1,50007
1,50008
1,50009
1,50010
1,50011
1,50012
1,50013
1,50014
1,50015
1,50016
1,50017
1,50018
1,50019
1,50020
1,50021
1,50022
1,50023
1,50024
1,50025
1,50026
1,50027
1,50028
1,50029
1,50030
1,50031
1,50032
1,50033
1,50034
1,50035
1,50036
1,50037
1,50038
1,50039
1,50040
1,50041
1,50042
1,50043
1,50044
1,50045
1,50046
1,50047
1,50048
1,50049
1,50060
1,50061
1,50062
1,50063
1,50064
1,50065
1,50066
1,50067
1,50068
1,50069
1,50070
1,50071
1,50072
1,50073
1,50074
1,50075
1,50076
1,50077
1,50078
1,50079
1,50080
1,50081
1,50082
1,50083
1,50084
1,50085
1,50086
1,50087
1,50088
1,50089
1,50090
1,50091
1,50092
1,50093
1,50094
1,50095
1,50096
1,50097
1,50098
1,50099
1,50100
1,50101
1,50102
1,50103
1,50104
1,50105
1,50106
1,50107
1,50108
1,50109
1,50110
1,50111
1,50112
1,50113
1,50114
1,50115
1,50116
1,50117
1,50118
1,50119
1,50120
1,50121
1,50122
1,50123
1,50124
1,50125
1,50126
1,50127
1,50128
1,50129
1,50130
1,50131
1,50132
1,50133
1,50134
1,50135
1,50136
1,50137
1,50138
1,50139
1,50140
1,50141
1,50142
1,50143
1,50144
1,50145
1,50146
1,50147
1,50148
1,50149
1,50150
1,50151
1,50152
1,50153
1,50154
1,50155
1,50156
1,50157
1,50158
1,50159
1,50160
1,50161
1,50162
1,50163
1,50164
1,50165
1,50166
1,50167
1,50168
1,50169
1,50170
1,50171
1,50172
1,50173
1,50174
1,50175
1,50176
1,50177
1,50178
1,50179
1,50180
1,50181
1,50182
1,50183
1,50184
1,50185
1,50186
1,50187
1,50188
1,50189
1,50190
1,50191
1,50192
1,50193
1,50194
1,50195
1,50196
1,50197
1,50198
1,50199
1,80100
1,80101
1,80102
1,80103
1,80104
1,80105
1,80106
1,80107
1,80108
1,80109
1,80110
1,80111
1,80112
1,80113
1,80114
1,80115
1,80116
1,80117
1,80118
1,80119
1,80120
1,80121
1,80130
1,80131
1,80132
1,80133
1,80134
1,80135
1,80136
1,80137
1,80138
1,80139
1,80140
1,80141
1,80142
1,80143
1,80144
1,80145
1,80146
1,80147
1,80148
1,80149
1,80150
1,80151
1,80152
1,80153
1,80154
1,80155
1,80156
1,80157
1,80158
1,80159
1,80160
1,80161
1,80162
1,80163
1,80164
1,80165
1,80166
1,80167
3,50000
3,50001
3,50002
3,50003
3,50004
3,50005
3,50006
3,50007
3,50008
3,50009
3,50010
3,50011
3,50012
3,50013
3,50014
3,50015
3,50016
3,50017
3,50018
3,50019
3,50020
3,50021
3,50022
3,50023
3,50024
3,50025
3,50026
3,50027
3,50028
3,50029
3,50030
3,50031
3,50032
3,50033
3,50034
3,50035
3,50036
3,50037
3,50038
3,50039
3,50040
3,50041
3,50042
3,50043
3,50044
3,50045
3,50046
3,50047
3,50048
3,50049
3,50050
3,50051
3,50052
3,50053
3,50054
3,50055
3,50056
3,50057
3,50058
3,50059
3,50060
3,50061
3,50062
3,50063
3,50064
3,50065
3,50066
3,50067
3,50068
3,50069
3,50070
3,50071
3,50072
3,50073
3,50074
3,50075
3,50076
3,50077
3,50078
3,50079
3,50080
3,50081
3,50082
3,50083
3,50084
3,50085
3,50086
3,50087
3,50088
3,50089
3,50090
3,50091
3,50092
3,50093
3,50094
3,50095
3,50096
3,50097
3,50098
3,50099
3,50100
3,50101
3,50102
3,50103
3,50104
3,50105
3,50106
3,50107
3,50108
3,50109
3,50110
3,50111
3,50112
3,50113
3,50114
3,50115
3,50116
3,50117
3,50118
3,50119
3,50120
3,50121
3,50122
3,50123
3,50124
3,50125
3,50126
3,50127
3,50128
3,50129
3,50130
3,50131
3,50132
3,50133
3,50134
3,50135
3,50136
3,50137
3,50138
3,50139
3,50140
3,50141
3,50142
3,50143
3,50144
3,50145
3,50146
3,50147
3,50148
3,50149
3,50150
3,50151
3,50152
3,50153
3,50154
3,50155
3,50156
3,50157
3,50158
3,50159
3,50160
3,50161
3,50162
3,50163
3,50164
3,50165
3,50166
3,50167
3,50168
3,50169
3,50170
3,50171
3,50172
3,50173
3,50174
3,50175
3,50176
3,50177
3,50178
3,50179
3,50180
3,50181
3,50182
3,50183
3,50184
3,50185
3,50186
3,50187
3,50188
3,50189
3,50190
3,50191
3,50192
3,50193
3,50194
3,50195
3,50196
3,50197
3,50198
3,50199
5,50000
5,50001
5,50002
5,50003
5,50004
5,50005
5,50006
5,50007
5,50008
5,50009
5,50010
5,50011
5,50012
5,50013
5,50014
5,50015
5,50016
5,50017
5,50018
5,50019
5,50020
5,50021
5,50022
5,50023
5,50024
5,50025
5,50026
5,50027
5,50028
5,50029
5,50030
5,50031
5,50032
5,50033
5,50034
5,50035
5,50036
5,50037
5,50038
5,50039
5,50040
5,50041
5,50042
5,50043
5,50044
5,50045
5,50046
5,50047
5,50048
5,50049
5,50050
5,50051
5,50052
5,50053
5,50054
5,50055
5,50056
5,50057
5,50058
5,50059
5,50060
5,50061
